# threads, bench_type, bench_mode, elapsed_ns, latency_ns, elapsed_clock_ns, clock_ns_per_iter
7, refcount, cmpxchg_weak, 40044018.000000, 40.0440180000, 238543000.000000, 238.543000
7, refcount, std::shared_ptr, 26830250.000000, 26.8302500000, 166773000.000000, 166.773000
7, spinlock, fetch_or, 89673425.000000, 89.6734250000, 590090000.000000, 590.090000
7, spinlock, fetch_add, 2672642991.000000, 2672.6429910000, 17869649000.000000, 17869.649000
7, spinlock, cmpxchg_strong, 49495123.000000, 49.4951230000, 284973000.000000, 284.973000
7, spinlock, cmpxchg_strong_pause, 41809358.000000, 41.8093580000, 270870000.000000, 270.870000
7, spinlock, cmpxchg_weak, 35812860.000000, 35.8128600000, 189128000.000000, 189.128000
7, spinlock, cmpxchg_weak_pause, 40092580.000000, 40.0925800000, 227203000.000000, 227.203000
7, spinlock, std::mutex, 68444764.000000, 68.4447640000, 401735000.000000, 401.735000
8, refcount, fetch_sub, 29145415.000000, 29.1454150000, 198475000.000000, 198.475000
8, refcount, cmpxchg_strong, 37495205.000000, 37.4952050000, 239863000.000000, 239.863000
8, refcount, cmpxchg_weak, 48553681.000000, 48.5536810000, 289723000.000000, 289.723000
8, refcount, std::shared_ptr, 27487512.000000, 27.4875120000, 171350000.000000, 171.350000
8, spinlock, fetch_or, 96865444.000000, 96.8654440000, 715918000.000000, 715.918000
8, spinlock, cmpxchg_strong, 52127528.000000, 52.1275280000, 342951000.000000, 342.951000
8, spinlock, cmpxchg_strong_pause, 41287345.000000, 41.2873450000, 277729000.000000, 277.729000
8, spinlock, cmpxchg_weak, 47236866.000000, 47.2368660000, 304813000.000000, 304.813000
8, spinlock, cmpxchg_weak_pause, 46639295.000000, 46.6392950000, 304619000.000000, 304.619000
8, spinlock, std::mutex, 74841461.000000, 74.8414610000, 491158000.000000, 491.158000
9, refcount, fetch_sub, 31132620.000000, 31.1326200000, 233730000.000000, 233.730000
9, refcount, cmpxchg_strong, 40443182.000000, 40.4431820000, 325771000.000000, 325.771000
9, refcount, cmpxchg_weak, 40973141.000000, 40.9731410000, 328630000.000000, 328.630000
9, refcount, std::shared_ptr, 25234211.000000, 25.2342110000, 198224000.000000, 198.224000
9, spinlock, fetch_or, 99645761.000000, 99.6457610000, 828070000.000000, 828.070000
9, spinlock, cmpxchg_strong, 48983813.000000, 48.9838130000, 354769000.000000, 354.769000
9, spinlock, cmpxchg_strong_pause, 44382271.000000, 44.3822710000, 303629000.000000, 303.629000
9, spinlock, cmpxchg_weak, 56072142.000000, 56.0721420000, 444420000.000000, 444.420000
